id X Y Z
170 87645.77344 12459.2832 50.13800049
171 87650.72656 12463.75781 52.06900024
172 87657.67969 12473.43945 52.05599976
173 87653.34375 12475.44629 53.23300171
174 87651.61719 12471.93066 53.60800171
175 87650.84375 12476.19531 52.14899826
176 87471.07031 12464.62109 48.67300034
177 87636.125 12469.81152 47.54700089
178 87627.36719 12464.66895 47.09700012
179 87474.02344 12484.65625 48.30400085
180 87613.51563 12484.58105 50.50400162
181 87633.48438 12482.45605 51.05899811
182 87631.82813 12473.88477 51.30500031
183 87620.08594 12468.54004 51.5890007
184 87577.33594 12489.74805 51.01900101
185 87609.57813 12468.34863 51.3390007
186 87569.27344 12490.53418 49.625
187 87497.19531 12477.94629 49.57300186
188 87570.10156 12479.11133 49.91699982
189 87591.11719 12471.68262 51.38999939
190 87575.00781 12481.88184 51.125
191 87578.4375 12471.33789 51.19800186
192 87516.27344 12472.70703 49.97200012
193 87566.625 12471.35352 51.36899948
194 87517.6875 12463.97559 50.13100052
195 87560.42969 12486.45898 47.37799835
196 87570.15625 12494.30664 49.64099884
197 87542.54688 12486.43164 47.22399902
198 87500.29688 12458.39063 49.74900055
199 87523.54688 12486.70508 47.15299988
200 87533.72656 12466.14648 50.50099945
201 87501.40625 12492.93066 46.7480011
202 87547.71094 12468.04395 50.65499878
203 87485.97656 12488.71777 47.5909996
204 87479.6875 12479.07617 49.07799911
205 87509.25 12478.58008 49.81299973
206 87516.53906 12472.66895 50.07899857
207 87532.91406 12471.07129 50.46900177
208 87545.10156 12473.05566 50.5379982
209 87537.59375 12462.04297 47.22399902
210 87554.01563 12474.05371 50.73500061
211 87455.51563 12480.76172 48.56399918
212 87440.32813 12481.76758 48.37200165
213 87437 12478.52637 46.8409996
214 87441.54688 12473.85254 48.98400116
215 87426.75 12479.39453 46.99499893
216 87427.72656 12480.16504 45.11500168
217 87406.14063 12478.04199 45.3429985
218 87400.5625 12479.1416 44.9070015
219 87472.35156 12398.33496 52.31399918
220 87525.35156 12433.07617 51.54600143
221 87529.60938 12437.73047 51.77700043
222 87536.60938 12440.5459 51.72200012
223 87543.26563 12444.875 51.9280014
224 87550.5 12449.33301 51.61399841
225 87559.29688 12451.43945 51.97299957
226 87570.92969 12452.2666 51.79299927
227 87581.09375 12452.02441 51.92100143
228 87549.09375 12442.28125 52.04299927
229 87460.92969 12496.28809 47.31100082
230 87445.6875 12494.56445 48.18899918
231 87519.15625 12432.88184 52.03300095
232 87461.29688 12494.89941 48.19400024
233 87444.375 12483.39648 48.48099899
234 87444.83594 12495.81543 47.15200043
235 87440.42188 12482.06348 48.35200119
236 87513.64844 12434.73828 51.55400085
237 87441.10156 12473.37402 48.73600006
238 87500.69531 12436.62402 51.7179985
239 87388.08594 12480.37012 44.84600067
240 87424.84375 12472.56543 49.19599915
241 87390.44531 12495.20313 45.04199982
242 87500.67969 12436.59375 51.70899963
243 87420.83594 12477.66406 49.06999969
244 87373.09375 12482.16016 45.07300186
245 87498.25781 12425.56348 52.22000122
246 87371.57813 12491.79395 45.2820015
247 87426 12479.14941 47.14300156
248 87356.64844 12495.34961 44.4620018
249 87436.25 12477.75 46.7879982
250 87351.72656 12505.09961 44.27000046
251 87437.49219 12497.30176 46.89199829
252 87340.82031 12518.52148 47.08800125
253 87427.80469 12496.50977 47.21500015
254 87340.34375 12515.24316 47.17599869
255 87333.46875 12511.46387 47.29800034
256 87400.96094 12497.14258 46.67300034
257 87343.44531 12492.60938 48.58499908
258 87337.84375 12489.83691 48.56900024
259 87341.57031 12475.52539 48.40000153
260 87401.13281 12496.28125 45.22299957
261 87400.75781 12479.38184 47.47700119
262 87400.74219 12479.38574 44.8769989
263 87355.30469 12476.05273 48.65800095
264 87348.35156 12488.63477 47.39199829
265 87435.51563 12479.43848 45.45700073
266 87431.61719 12481.26465 45.33200073
267 87435.80469 12495.81738 45.16899872
268 87338.96875 12521.97852 46.92599869
269 87329.375 12526.49902 46.97499847
270 87320.61719 12528.58594 46.94300079
271 87309.53906 12535.55273 46.97000122
272 87299.17969 12537.97168 47.06399918
273 87426.76563 12473.53613 47.1570015
274 87296.03906 12545.73535 46.0909996
275 87438.53906 12474.54785 46.84799957
276 87288.75781 12555.85938 46.20399857
277 87443.375 12486.53906 47.07300186
278 87306.03125 12541.41992 47.01399994
279 87312.73438 12542.3584 46.98899841
280 87308.22656 12543.17969 45.98099899
